LastReportDate,Sex,NZAgeGroup,Cases
2021-09-14,Female,5-19,360
2021-09-13,Female,<1,8
2021-09-14,Male,20-34,700
2021-04-06,Male,>=80,21
2021-09-12,Female,65-79,103
2021-09-15,Male,35-49,424
2021-09-13,Male,1-4,58
2021-09-15,Male,5-19,295
2021-09-14,Female,20-34,700
2021-09-12,Female,50-64,322
2021-09-14,Female,35-49,375
2021-09-14,,5-19,4
2021-08-31,Female,>=80,24
2021-09-12,Male,<1,19
2021-07-06,Unknown,35-49,2
2021-09-13,,<1,1
2021-09-13,Female,1-4,74
2021-09-11,Male,65-79,140
2021-09-15,,Unknown,2
2021-09-10,Male,50-64,349
